DATE,CALOSA7URN
2020/1/1,4.9
2020/2/1,4.9
2020/3/1,6.7
2020/4/1,17
2020/5/1,19
2020/6/1,17.8
2020/7/1,18.6
2020/8/1,17
2020/9/1,11.3
2020/10/1,10.4
2020/11/1,10.4
2020/12/1,10.8
2021/1/1,11
2021/2/1,10.5
2021/3/1,10.4
2021/4/1,10.2
2021/5/1,9.4
2021/6/1,9.9
2021/7/1,9.5
2021/8/1,8.9
2021/9/1,7.7
2021/10/1,7.2
2021/11/1,6.4
2021/12/1,6
2022/1/1,6.5
2022/2/1,5.8
2022/3/1,5.2
2022/4/1,4.8
2022/5/1,4.5
2022/6/1,4.9
2022/7/1,4.9
2022/8/1,4.7
2022/9/1,4.3
2022/10/1,4.5
2022/11/1,4.5
2022/12/1,4.4
2023/1/1,4.9
2023/2/1,5.2
2023/3/1,5
2023/4/1,4.5
2023/5/1,4.8
2023/6/1,5.3
2023/7/1,5.4
2023/8/1,5.8
